"SIMULATED EQUIVALENT"   "OBSERVED VALUE"    "OBSERVATION NAME"
   6.11466827393E+01   3.34314994812E+01  1           
   3.53896369934E+01   3.55675010681E+01  2           
   5.47157325745E+01   5.59057998657E+01  4           
   8.83704757690E+01   6.29379997253E+01  5           
   1.56428466797E+02   1.45904006958E+02  6           
   2.99269466400E+01   3.14050998688E+01  7           
   1.03047157288E+02   4.18740005493E+01  8           
   9.22509078979E+01   5.75279998779E+01  9           
   7.53471450806E+01   4.83432998657E+01  12          
   9.80439605713E+01   2.16956005096E+01  16          
   1.46321701050E+02   1.10865997314E+02  17          
   1.21408859253E+02   9.65989990234E+01  18          
   7.36288604736E+01   1.02238998413E+02  20          
   7.85026855469E+01   6.78560028076E+01  21          
   4.56043853760E+01   4.28418998718E+01  22          
   1.28947677612E+02   9.76772003174E+01  23          
   1.36714141846E+02   1.04824996948E+02  24          
   1.37783096313E+02   1.10042999268E+02  25          
   4.69641838074E+01   7.10780000687E+00  26          
   6.71878356934E+01   6.43485031128E+01  27          
   2.59829158783E+01   2.59571990967E+01  28          
   1.05209693909E+02  -3.35970001221E+01  29          
   9.25273990631E+00   7.18380022049E+00  30          
   9.64164543152E+00   3.74699997902E+00  31          
   8.29404754639E+01   5.89953002930E+01  32          
   1.15122741699E+02   9.79369964600E+01  33          
   2.03062438965E+01   1.09575004578E+01  34          
   6.38162269592E+01   1.02223999023E+02  35          
   1.22561630249E+02   8.97213973999E+01  36          
   8.11460590363E+00   2.13400006294E+00  37          
   1.31754179001E+01   1.45410003662E+01  38          
   2.41394062042E+01   8.98690032959E+00  39          
   1.66517593384E+02   1.66212997437E+02  40          
   2.19074920654E+02   2.33180999756E+02  41          
   1.34071655273E+02   1.07817001343E+02  43          
   1.49700805664E+02   9.44550018311E+01  44          
   1.39164642334E+02   1.23125000000E+02  45          
   2.38232742310E+02   3.10319000244E+02  46          
   2.32412872314E+02   2.74101013184E+02  48          
   1.56756317139E+02   1.40391998291E+02  49          
   8.71442947388E+01   6.87559967041E+01  50          
   1.08917762756E+02   8.43349990845E+01  51          
   7.45173263550E+01   5.58409996033E+01  52          
   6.89796752930E+01   4.04258995056E+01  53          
   1.25663452148E+02   8.35999984741E+01  54          
   2.83224151611E+02   2.63356994629E+02  55          
   1.75710266113E+02   1.42602005005E+02  56          
   1.95522415161E+02   1.65438995361E+02  57          
   6.21850166321E+01   6.17183990479E+01  58          
   1.35290023804E+02   1.23725997925E+02  59          
   5.13007812500E+01   3.88083000183E+01  60          
   2.19682586670E+02   1.63449996948E+02  62          
   1.28100173950E+02   1.32106994629E+02  63          
   1.56457489014E+02   1.25266998291E+02  64          
   2.87965148926E+02   2.09811996460E+02  65          
   2.60004058838E+02   2.22537002563E+02  66          
   3.14063842773E+02   2.80020996094E+02  70          
   1.27946098328E+02   2.04580001831E+01  75          
   2.83329238892E+01   2.24612007141E+01  76          
   1.17338630676E+02  -1.09856002808E+02  77          
   1.76843795776E+01   4.59670019150E+00  78          
   1.57870529175E+02   9.23086013794E+01  79          
   4.38597145081E+01   3.99001998901E+01  85          
   4.69298248291E+01   4.44588012695E+01  86          
   4.56093940735E+01   3.82224998474E+01  87          
   1.48003936768E+02   1.21641998291E+02  89          
   1.51665176392E+02   6.72480010986E+01  90          
   1.50645782471E+02   1.53304992676E+02  92          
   2.44927200317E+02   1.91011001587E+02  94          
   2.54852539062E+02   2.42167007446E+02  95          
   2.06790344238E+02   2.44003005981E+02  96          
   6.12581138611E+01   5.18277015686E+01  97          
   2.99682800293E+02   3.09927001953E+02  105         
   9.54004058838E+01   8.98590011597E+01  106         
   1.53045898438E+02   5.90205993652E+01  108         
   1.67179656982E+02   1.37619003296E+02  109         
   1.48912292480E+02   1.44777999878E+02  110         
   1.74225158691E+02   1.42100997925E+02  112         
   1.59864685059E+02   1.76604995728E+02  113         
   2.30864883423E+02   2.24514007568E+02  114         
   2.27870758057E+02   2.21253005981E+02  115         
   1.13548530579E+02   9.09420013428E+01  116         
   9.09762878418E+01   8.58300018311E+01  117         
   1.35253784180E+02   9.33046035767E+01  118         
   2.80114021301E+01   1.74176998138E+01  119         
   2.56976375580E+01   8.00769996643E+00  120         
   2.50811786652E+01   1.13886003494E+01  121         
   9.20871582031E+01   4.69751014709E+01  122         
   2.56033599854E+02   2.16660003662E+02  132         
   1.92472656250E+02   3.60519981384E+01  134         
   1.29238403320E+02   1.20082000732E+02  135         
   1.28096237183E+02   8.65075988770E+01  136         
   2.06648315430E+02   1.70559005737E+02  141         
   1.40230834961E+02   1.09092002869E+02  143         
   3.03503837585E+01   1.41359996796E+00  144         
   2.21652488708E+01   1.44749999046E+00  145         
   1.40062744141E+02   1.28322998047E+02  146         
   2.05053237915E+02   1.82208999634E+02  149         
   1.22918251038E+02   8.48499984741E+01  150         
   2.18001968384E+02   1.16253997803E+02  153         
   2.13409591675E+02   1.74621002197E+02  154         
   2.89187240601E+01   3.21990013123E+01  155         
   4.53693351746E+01  -7.73309993744E+00  157         
   1.36148468018E+02   8.89599990845E+01  159         
   2.12129302979E+02   2.10065994263E+02  160         
   1.34748382568E+02   1.15816001892E+02  162         
   2.31839920044E+02   2.03266006470E+02  163         
   8.71097793579E+01   6.27196006775E+01  168         
   7.97269134521E+01   5.98870010376E+01  169         
   7.46581344604E+01   6.25890998840E+01  170         
   6.83039169312E+01   6.39035987854E+01  171         
   7.60484924316E+01   4.49739990234E+01  173         
   2.32748214722E+02   1.15949996948E+02  174         
   2.06326919556E+02   1.77901000977E+02  176         
   2.67206764221E+01   1.63481006622E+01  180         
   2.70802688599E+01   1.39516000748E+01  181         
   2.70648021698E+01   1.14160995483E+01  182         
   7.25150451660E+01   3.88674011230E+01  183         
   6.99663162231E+01   5.26069984436E+01  184         
   9.44348907471E+01   7.24841003418E+01  185         
   2.48212661743E+02   2.62350006104E+02  186         
   4.50449790955E+01   1.88691005707E+01  189         
   4.20810241699E+01   1.78973007202E+01  190         
   2.40550216675E+02   1.84548995972E+02  192         
   1.98708057404E+01   1.57833995819E+01  194         
   1.67815399170E+01   1.06014995575E+01  195         
   3.08521461487E+01   2.40093002319E+01  196         
   3.14690685272E+01   2.05527000427E+01  197         
   1.45130203247E+02   8.11378021240E+01  201         
   1.32931304932E+02   1.17074996948E+02  202         
   1.21829528809E+02   1.06405998230E+02  203         
