    ppt1     ppt2         dist
       2       49       936.25
       2        3      1655.29
       2       43      2363.26
       2       46      2926.78
       3       49       745.23
       3       43      1035.07
       3       46      1777.36
       3       50      5293.55
      29      144      3099.92
      29       51      3112.74
      29       53      3438.00
      29      112      3857.68
      41       53      2823.73
      41      242      2891.02
      41       51      2908.61
      41      144      3422.56
      43       46       748.97
      43       49      1466.14
      43       50      6291.86
      43      242      9614.26
      46       49      2103.90
      46       50      6982.41
      46      242     10254.38
      46       53     12496.26
      49       50      4886.68
      49      242      9242.45
      49       53     10724.40
      49       51     11059.58
      50       53      6904.57
      50      112      7150.96
      50       51      7231.59
      50      144      7325.38
      51       53       337.02
      51      144       515.20
      51      112      1727.18
      51      242      5716.86
      53      144       714.09
      53      112      1783.32
      53      242      5569.35
      53      315      9592.61
     112      144      1247.53
     112      242      7334.40
     112      315      8457.50
     112      233     10015.05
     144      242      6230.01
     144      315      8898.69
     144      233      9725.24
     144      391     16042.44
     233      315      5563.64
     233      391      9551.43
     233      242     13252.15
     242      315     14442.86
     242      391     21384.99
     315      391      7147.25
