#  ME:    Mean Error
#  MAE:   Mean Absolute Error
#  RMSE:  Root Mean Square Error
#  NRMSE: Normalized Root Mean Square Error
#  r:     Pearson product-moment correlation coefficient
#  RSR:   Spearman Correlation coefficient
#  R2:    Coefficient of Determination
#  rSD:   Ratio of Standard Deviations
#  NSE:   Nash-Sutcliffe efficiency
#  mNSE:  Modified Nash-Sutcliffe efficiency
#  rNSE:  Relative Nash-Sutcliffe efficiency
#  d:     Index of Agreement
#  md:    Modified Index of Agreement
#  rd:    Relative Index of Agreement
#  cp:    Coefficient of Persistence
#  PBIAS: Percent Bias
#  KGE:   Kling-Gupta efficiency
#  bR2:   the coef. of determination multiplied by the slope of the linear regression between "sim" and "obs"
#  VE:    volumetric efficiency
 
*** Comparison of ANNUAL totals for GarzasCreekatGarzasRoad ***
 
ME                                 274.57
MAE                               2944.93
MSE                           15719675.00
RMSE                              3964.80
NRMSE %                             66.80
PBIAS %                              4.50
RSR                                  0.67
rSD                                  0.33
NSE                                  0.53
mNSE                                 0.30
rNSE                                -7.75
d                                    0.73
md                                   0.48
rd                                  -3.98
cp                                   0.76
r                                    0.96
R2                                   0.92
bR2                                  0.65
KGE                                  0.33
VE                                   0.52
