#  ME:    Mean Error
#  MAE:   Mean Absolute Error
#  RMSE:  Root Mean Square Error
#  NRMSE: Normalized Root Mean Square Error
#  r:     Pearson product-moment correlation coefficient
#  RSR:   Spearman Correlation coefficient
#  R2:    Coefficient of Determination
#  rSD:   Ratio of Standard Deviations
#  NSE:   Nash-Sutcliffe efficiency
#  mNSE:  Modified Nash-Sutcliffe efficiency
#  rNSE:  Relative Nash-Sutcliffe efficiency
#  d:     Index of Agreement
#  md:    Modified Index of Agreement
#  rd:    Relative Index of Agreement
#  cp:    Coefficient of Persistence
#  PBIAS: Percent Bias
#  KGE:   Kling-Gupta efficiency
#  bR2:   the coef. of determination multiplied by the slope of the linear regression between "sim" and "obs"
#  VE:    volumetric efficiency
 
*** Comparison of ANNUAL totals for NearCarmel(USGS) ***
 
ME                               61861.59
MAE                              61861.59
MSE                         4311241896.56
RMSE                             65660.05
NRMSE %                            103.90
PBIAS %                             84.50
RSR                                  1.04
rSD                                  0.96
NSE                                 -0.13
mNSE                                -0.29
rNSE                               -18.61
d                                    0.79
md                                   0.47
rd                                  -2.67
cp                                   0.48
r                                    0.93
R2                                   0.87
bR2                                  0.60
KGE                                  0.15
VE                                   0.16
