#  ME:    Mean Error
#  MAE:   Mean Absolute Error
#  RMSE:  Root Mean Square Error
#  NRMSE: Normalized Root Mean Square Error
#  r:     Pearson product-moment correlation coefficient
#  RSR:   Spearman Correlation coefficient
#  R2:    Coefficient of Determination
#  rSD:   Ratio of Standard Deviations
#  NSE:   Nash-Sutcliffe efficiency
#  mNSE:  Modified Nash-Sutcliffe efficiency
#  rNSE:  Relative Nash-Sutcliffe efficiency
#  d:     Index of Agreement
#  md:    Modified Index of Agreement
#  rd:    Relative Index of Agreement
#  cp:    Coefficient of Persistence
#  PBIAS: Percent Bias
#  KGE:   Kling-Gupta efficiency
#  bR2:   the coef. of determination multiplied by the slope of the linear regression between "sim" and "obs"
#  VE:    volumetric efficiency
 
*** Comparison of ANNUAL totals for PineCreek ***
 
ME                                 382.26
MAE                                966.52
MSE                            1381506.88
RMSE                              1175.38
NRMSE %                             30.00
PBIAS %                              7.00
RSR                                  0.30
rSD                                  0.94
NSE                                  0.91
mNSE                                 0.69
rNSE                                -5.04
d                                    0.97
md                                   0.83
rd                                  -0.62
cp                                   0.96
r                                    0.96
R2                                   0.92
bR2                                  0.90
KGE                                  0.90
VE                                   0.82
