#  ME:    Mean Error
#  MAE:   Mean Absolute Error
#  RMSE:  Root Mean Square Error
#  NRMSE: Normalized Root Mean Square Error
#  r:     Pearson product-moment correlation coefficient
#  RSR:   Spearman Correlation coefficient
#  R2:    Coefficient of Determination
#  rSD:   Ratio of Standard Deviations
#  NSE:   Nash-Sutcliffe efficiency
#  mNSE:  Modified Nash-Sutcliffe efficiency
#  rNSE:  Relative Nash-Sutcliffe efficiency
#  d:     Index of Agreement
#  md:    Modified Index of Agreement
#  rd:    Relative Index of Agreement
#  cp:    Coefficient of Persistence
#  PBIAS: Percent Bias
#  KGE:   Kling-Gupta efficiency
#  bR2:   the coef. of determination multiplied by the slope of the linear regression between "sim" and "obs"
#  VE:    volumetric efficiency
 
*** Comparison of ANNUAL totals for SanClementeCreek ***
 
ME                                 308.97
MAE                               1984.81
MSE                            5736898.74
RMSE                              2395.18
NRMSE %                             29.90
PBIAS %                              3.30
RSR                                  0.30
rSD                                  0.81
NSE                                  0.91
mNSE                                 0.67
rNSE                                 0.09
d                                    0.97
md                                   0.81
rd                                   0.72
cp                                   0.96
r                                    0.97
R2                                   0.93
bR2                                  0.87
KGE                                  0.80
VE                                   0.79
