#  ME:    Mean Error
#  MAE:   Mean Absolute Error
#  RMSE:  Root Mean Square Error
#  NRMSE: Normalized Root Mean Square Error
#  r:     Pearson product-moment correlation coefficient
#  RSR:   Spearman Correlation coefficient
#  R2:    Coefficient of Determination
#  rSD:   Ratio of Standard Deviations
#  NSE:   Nash-Sutcliffe efficiency
#  mNSE:  Modified Nash-Sutcliffe efficiency
#  rNSE:  Relative Nash-Sutcliffe efficiency
#  d:     Index of Agreement
#  md:    Modified Index of Agreement
#  rd:    Relative Index of Agreement
#  cp:    Coefficient of Persistence
#  PBIAS: Percent Bias
#  KGE:   Kling-Gupta efficiency
#  bR2:   the coef. of determination multiplied by the slope of the linear regression between "sim" and "obs"
#  VE:    volumetric efficiency
 
*** Comparison of DAILY flows for PineCreek ***
 
ME              -3.00
MAE              5.09
MSE            156.20
RMSE            12.50
NRMSE %         67.10
PBIAS %        -37.30
RSR              0.67
rSD              0.56
NSE              0.55
mNSE             0.47
rNSE             -Inf
d                0.80
md               0.68
rd               -Inf
cp              -0.86
r                0.79
R2               0.63
bR2              0.30
KGE              0.39
VE               0.37
