#  ME:    Mean Error
#  MAE:   Mean Absolute Error
#  RMSE:  Root Mean Square Error
#  NRMSE: Normalized Root Mean Square Error
#  r:     Pearson product-moment correlation coefficient
#  RSR:   Spearman Correlation coefficient
#  R2:    Coefficient of Determination
#  rSD:   Ratio of Standard Deviations
#  NSE:   Nash-Sutcliffe efficiency
#  mNSE:  Modified Nash-Sutcliffe efficiency
#  rNSE:  Relative Nash-Sutcliffe efficiency
#  d:     Index of Agreement
#  md:    Modified Index of Agreement
#  rd:    Relative Index of Agreement
#  cp:    Coefficient of Persistence
#  PBIAS: Percent Bias
#  KGE:   Kling-Gupta efficiency
#  bR2:   the coef. of determination multiplied by the slope of the linear regression between "sim" and "obs"
#  VE:    volumetric efficiency
 
*** Comparison of DAILY flows for RoblesdelRio(USGS) ***
 
ME               6.80
MAE             46.88
MSE          19939.30
RMSE           141.21
NRMSE %         47.50
PBIAS %          6.60
RSR              0.47
rSD              0.86
NSE              0.77
mNSE             0.63
rNSE             -Inf
d                0.93
md               0.80
rd               -Inf
cp               0.41
r                0.88
R2               0.78
bR2              0.61
KGE              0.80
VE               0.55
