"SIMULATED EQUIVALENT"   "OBSERVED VALUE"    "OBSERVATION NAME"
   4.93687629700E+01   5.13300018311E+01  w1_10231990 
   4.91533012390E+01   5.15200004578E+01  w1_11261990 
   4.93274917603E+01   5.15000000000E+01  w1_12191990 
   5.03751258850E+01   5.15999984741E+01  w1_01041991 
   5.08953819275E+01   5.15800018311E+01  w1_02051991 
   5.12988395691E+01   5.22099990845E+01  w1_03051991 
   5.17791557312E+01   5.23699989319E+01  w1_03221991 
   5.12579650879E+01   5.20999984741E+01  w1_04021991 
   5.10420875549E+01   5.19599990845E+01  w1_04091991 
   5.08424263000E+01   5.18499984741E+01  w1_04181991 
   5.05841445923E+01   5.17900009155E+01  w1_05031991 
   5.02732162476E+01   5.17299995422E+01  w1_06061991 
   4.96557884216E+01   5.15600013733E+01  w1_07051991 
   4.89728393555E+01   5.15900001526E+01  w1_08081991 
   4.86178703308E+01   5.15600013733E+01  w1_09041991 
   4.91971817017E+01   5.13199996948E+01  w1_11151991 
   4.91376228333E+01   5.13100013733E+01  w1_12091991 
   5.02517738342E+01   5.16800003052E+01  w1_01061992 
   5.01040840149E+01   5.15200004578E+01  w1_02051992 
   4.98401679993E+01   5.17799987793E+01  w1_03021992 
   4.98503761292E+01   5.18400001526E+01  w1_03131992 
   5.08565101624E+01   5.16800003052E+01  w1_04021992 
   5.02574577332E+01   5.14900016785E+01  w1_05081992 
   4.95798187256E+01   5.14199981689E+01  w1_06091992 
   4.88217773438E+01   5.13400001526E+01  w1_07071992 
   4.80699119568E+01   5.13100013733E+01  w1_08101992 
   4.77262420654E+01   5.13100013733E+01  w1_09101992 
   4.79841804504E+01   5.13499984741E+01  w1_10191992 
   4.79064521790E+01   5.13600006104E+01  w1_11121992 
   4.79126892090E+01   5.13600006104E+01  w1_12021992 
   5.02412872314E+01   5.19900016785E+01  w1_12311992 
   5.13562927246E+01   5.22500000000E+01  w1_01251993 
   5.20322494507E+01   5.21899986267E+01  w1_03031993 
   5.20789871216E+01   5.20699996948E+01  w1_04021993 
   5.13597831726E+01   5.19099998474E+01  w1_05041993 
   5.09954757690E+01   5.18300018311E+01  w1_06091993 
   5.02187080383E+01   5.17400016785E+01  w1_06291993 
   4.96021194458E+01   5.16699981689E+01  w1_07281993 
   4.88695449829E+01   5.16300010681E+01  w1_08301993 
   4.85016517639E+01   5.16300010681E+01  w1_09291993 
   4.85547523499E+01   5.16199989319E+01  w1_11021993 
   4.97540931702E+01   5.16699981689E+01  w1_11291993 
   5.07510528564E+01   5.16800003052E+01  w1_01061994 
   5.03097038269E+01   5.16699981689E+01  w1_01201994 
   5.07135543823E+01   5.22700004578E+01  w1_02231994 
   5.11121635437E+01   5.18100013733E+01  w1_03231994 
   5.12753982544E+01   5.17900009155E+01  w1_04271994 
   5.09645996094E+01   5.17599983215E+01  w1_05281994 
   5.00286941528E+01   5.16500015259E+01  w1_06291994 
   4.94083480835E+01   5.14300003052E+01  w1_07271994 
   4.88070755005E+01   5.15900001526E+01  w1_08301994 
   4.84767684937E+01   5.15999984741E+01  w1_09281994 
   4.92313194275E+01   5.15900001526E+01  w1_10241994 
   5.01038551331E+01   5.16399993896E+01  w1_11291994 
   5.04925346375E+01   5.16800003052E+01  w1_12291994 
   5.12319564819E+01   5.26699981689E+01  w1_01251995 
   5.10643806458E+01   5.17599983215E+01  w1_02271995 
   5.19805870056E+01   5.21500015259E+01  w1_03161995 
   5.22451438904E+01   5.20499992371E+01  w1_03291995 
   5.20017166138E+01   5.14099998474E+01  w1_04261995 
   5.16182403564E+01   5.13100013733E+01  w1_05301995 
   5.11695022583E+01   5.12200012207E+01  w1_06301995 
   5.03319854736E+01   5.11100006104E+01  w1_07281995 
   4.96597061157E+01   5.10600013733E+01  w1_09051995 
   4.96033134460E+01   5.10400009155E+01  w1_10051995 
   4.98975028992E+01   5.10200004578E+01  w1_10311995 
   4.95376472473E+01   5.10400009155E+01  w1_11271995 
   5.07645530701E+01   5.11599998474E+01  w1_12261995 
   5.17752227783E+01   5.17700004578E+01  w1_02071996 
   5.22196578979E+01   5.18300018311E+01  w1_02281996 
   5.21634254456E+01   5.14300003052E+01  w1_03291996 
   5.13979759216E+01   5.12700004578E+01  w1_04291996 
   5.13466529846E+01   5.12000007629E+01  w1_05291996 
   5.00100631714E+01   5.11100006104E+01  w1_07011996 
   4.96418876648E+01   5.10900001526E+01  w1_07251996 
   4.90142593384E+01   5.10699996948E+01  w1_08291996 
   4.88054237366E+01   5.10400009155E+01  w1_09271996 
   4.95518188477E+01   5.10400009155E+01  w1_11011996 
   5.05213890076E+01   5.11399993896E+01  w1_12031996 
   5.13373260498E+01   5.15699996948E+01  w1_12271996 
   5.09700660706E+01   5.21199989319E+01  w1_01311997 
   5.10840873718E+01   5.15900001526E+01  w1_02271997 
   5.06041984558E+01   5.14500007629E+01  w1_03281997 
   5.07062416077E+01   5.13800010681E+01  w1_04281997 
   4.96282653809E+01   5.12900009155E+01  w1_05291997 
   4.89414367676E+01   5.12400016785E+01  w1_07091997 
   4.83274841309E+01   5.12400016785E+01  w1_08051997 
   4.79198303223E+01   5.12299995422E+01  w1_08271997 
   4.73077812195E+01   5.12400016785E+01  w1_09301997 
   4.81230239868E+01   5.12099990845E+01  w1_10301997 
   4.92111816406E+01   5.12799987793E+01  w1_11241997 
   5.09382133484E+01   5.14799995422E+01  w1_12301997 
   5.15045433044E+01   5.12400016785E+01  w1_01281998 
   5.14996871948E+01   5.19300003052E+01  w1_01291998 
   5.21116104126E+01   5.23100013733E+01  w1_02261998 
   5.23290786743E+01   5.18100013733E+01  w1_03311998 
   5.24108276367E+01   5.16300010681E+01  w1_05121998 
   5.21743888855E+01   5.15600013733E+01  w1_06011998 
   5.14669761658E+01   5.14199981689E+01  w1_07011998 
   5.05846481323E+01   5.13100013733E+01  w1_08041998 
   4.99077568054E+01   5.12599983215E+01  w1_08281998 
   5.00494422913E+01   5.12299995422E+01  w1_10281998 
   5.09618721008E+01   5.13499984741E+01  w1_12021998 
   5.14646835327E+01   5.12999992371E+01  w1_01041999 
   5.17516212463E+01   5.14799995422E+01  w1_01291999 
   5.21931266785E+01   5.15299987793E+01  w1_02241999 
   5.23844261169E+01   5.15800018311E+01  w1_04021999 
   5.20798912048E+01   5.14300003052E+01  w1_04301999 
   5.13288612366E+01   5.13600006104E+01  w1_06021999 
   5.07757148743E+01   5.12599983215E+01  w1_07011999 
   5.06843109131E+01   5.12299995422E+01  w1_07271999 
   4.99143371582E+01   5.11800003052E+01  w1_08311999 
   5.00717124939E+01   5.11800003052E+01  w1_10081999 
   5.02902946472E+01   5.12200012207E+01  w1_10281999 
   5.08367500305E+01   5.12000007629E+01  w1_11301999 
   5.11506958008E+01   5.15299987793E+01  w1_01052000 
   5.18534774780E+01   5.15299987793E+01  w1_01312000 
   5.23157272339E+01   5.18100013733E+01  w1_02252000 
   5.18908309937E+01   5.14000015259E+01  w1_04032000 
   5.20821609497E+01   5.13800010681E+01  w1_04252000 
   5.13101806641E+01   5.12700004578E+01  w1_05312000 
   5.07245712280E+01   5.11800003052E+01  w1_06282000 
   5.01687545776E+01   5.11500015259E+01  w1_07312000 
   4.98273849487E+01   5.11300010681E+01  w1_08292000 
   4.96815834045E+01   5.11300010681E+01  w1_10032000 
   5.09331474304E+01   5.11500015259E+01  w1_10312000 
   5.11926155090E+01   5.11599998474E+01  w1_11302000 
   5.11557884216E+01   5.11899986267E+01  w1_12202000 
   5.20552520752E+01   5.13100013733E+01  w1_02022001 
   5.24118995667E+01   5.13800010681E+01  w1_02282001 
