"SIMULATED EQUIVALENT"   "OBSERVED VALUE"    "OBSERVATION NAME"
   5.22515296936E+01   5.13300018311E+01  w1_10231990 
   5.30390510559E+01   5.15200004578E+01  w1_11261990 
   5.33055191040E+01   5.15000000000E+01  w1_12191990 
   5.35899543762E+01   5.15999984741E+01  w1_01041991 
   5.37085533142E+01   5.15800018311E+01  w1_02051991 
   5.40060577393E+01   5.22099990845E+01  w1_03051991 
   5.40388755798E+01   5.23699989319E+01  w1_03221991 
   5.40335388184E+01   5.20999984741E+01  w1_04021991 
   5.40196342468E+01   5.19599990845E+01  w1_04091991 
   5.39881782532E+01   5.18499984741E+01  w1_04181991 
   5.39311408997E+01   5.17900009155E+01  w1_05031991 
   5.38338813782E+01   5.17299995422E+01  w1_06061991 
   5.37765655518E+01   5.15600013733E+01  w1_07051991 
   5.37506179810E+01   5.15900001526E+01  w1_08081991 
   5.37499427795E+01   5.15600013733E+01  w1_09041991 
   5.37821388245E+01   5.13199996948E+01  w1_11151991 
   5.38191947937E+01   5.13100013733E+01  w1_12091991 
   5.40901870728E+01   5.16800003052E+01  w1_01061992 
   5.42449760437E+01   5.15200004578E+01  w1_02051992 
   5.43661155701E+01   5.17799987793E+01  w1_03021992 
   5.43269119263E+01   5.18400001526E+01  w1_03131992 
   5.42600822449E+01   5.16800003052E+01  w1_04021992 
   5.41358451843E+01   5.14900016785E+01  w1_05081992 
   5.39835166931E+01   5.14199981689E+01  w1_06091992 
   5.38751258850E+01   5.13400001526E+01  w1_07071992 
   5.37882003784E+01   5.13100013733E+01  w1_08101992 
   5.37618827820E+01   5.13100013733E+01  w1_09101992 
   5.37605590820E+01   5.13499984741E+01  w1_10191992 
   5.37711410522E+01   5.13600006104E+01  w1_11121992 
   5.38292846680E+01   5.13600006104E+01  w1_12021992 
   5.38681793213E+01   5.19900016785E+01  w1_12311992 
   5.38564376831E+01   5.22500000000E+01  w1_01251993 
   5.40646476746E+01   5.21899986267E+01  w1_03031993 
   5.39495697021E+01   5.20699996948E+01  w1_04021993 
   5.39319076538E+01   5.19099998474E+01  w1_05041993 
   5.38289375305E+01   5.18300018311E+01  w1_06091993 
   5.37813491821E+01   5.17400016785E+01  w1_06291993 
   5.37369003296E+01   5.16699981689E+01  w1_07281993 
   5.37009811401E+01   5.16300010681E+01  w1_08301993 
   5.36949119568E+01   5.16300010681E+01  w1_09291993 
   5.37303009033E+01   5.16199989319E+01  w1_11021993 
   5.38217544556E+01   5.16699981689E+01  w1_11291993 
   5.39486541748E+01   5.16800003052E+01  w1_01061994 
   5.41572151184E+01   5.16699981689E+01  w1_01201994 
   5.41447219849E+01   5.22700004578E+01  w1_02231994 
   5.44252281189E+01   5.18100013733E+01  w1_03231994 
   5.42069015503E+01   5.17900009155E+01  w1_04271994 
   5.41218070984E+01   5.17599983215E+01  w1_05281994 
   5.39513473511E+01   5.16500015259E+01  w1_06291994 
   5.38091430664E+01   5.14300003052E+01  w1_07271994 
   5.37293052673E+01   5.15900001526E+01  w1_08301994 
   5.37056884766E+01   5.15999984741E+01  w1_09281994 
   5.36955871582E+01   5.15900001526E+01  w1_10241994 
   5.36993293762E+01   5.16399993896E+01  w1_11291994 
   5.39146575928E+01   5.16800003052E+01  w1_12291994 
   5.38810768127E+01   5.26699981689E+01  w1_01251995 
   5.41002197266E+01   5.17599983215E+01  w1_02271995 
   5.41092643738E+01   5.21500015259E+01  w1_03161995 
   5.41009559631E+01   5.20499992371E+01  w1_03291995 
   5.40044784546E+01   5.14099998474E+01  w1_04261995 
   5.39056663513E+01   5.13100013733E+01  w1_05301995 
   5.37607307434E+01   5.12200012207E+01  w1_06301995 
   5.36764183044E+01   5.11100006104E+01  w1_07281995 
   5.36442489624E+01   5.10600013733E+01  w1_09051995 
   5.36393051147E+01   5.10400009155E+01  w1_10051995 
   5.36597480774E+01   5.10200004578E+01  w1_10311995 
   5.37945518494E+01   5.10400009155E+01  w1_11271995 
   5.39955291748E+01   5.11599998474E+01  w1_12261995 
   5.42190933228E+01   5.17700004578E+01  w1_02071996 
   5.41148300171E+01   5.18300018311E+01  w1_02281996 
   5.39632987976E+01   5.14300003052E+01  w1_03291996 
   5.38515281677E+01   5.12700004578E+01  w1_04291996 
   5.37010345459E+01   5.12000007629E+01  w1_05291996 
   5.36441764832E+01   5.11100006104E+01  w1_07011996 
   5.36034698486E+01   5.10900001526E+01  w1_07251996 
   5.35704765320E+01   5.10699996948E+01  w1_08291996 
   5.35657081604E+01   5.10400009155E+01  w1_09271996 
   5.35916519165E+01   5.10400009155E+01  w1_11011996 
   5.38056297302E+01   5.11399993896E+01  w1_12031996 
   5.39373779297E+01   5.15699996948E+01  w1_12271996 
   5.40586624146E+01   5.21199989319E+01  w1_01311997 
   5.43376617432E+01   5.15900001526E+01  w1_02271997 
   5.42537460327E+01   5.14500007629E+01  w1_03281997 
   5.42512283325E+01   5.13800010681E+01  w1_04281997 
   5.41617813110E+01   5.12900009155E+01  w1_05291997 
   5.39088172913E+01   5.12400016785E+01  w1_07091997 
   5.37459526062E+01   5.12400016785E+01  w1_08051997 
   5.36977233887E+01   5.12299995422E+01  w1_08271997 
   5.36646232605E+01   5.12400016785E+01  w1_09301997 
   5.36644897461E+01   5.12099990845E+01  w1_10301997 
   5.37014541626E+01   5.12799987793E+01  w1_11241997 
   5.37963600159E+01   5.14799995422E+01  w1_12301997 
   5.37757797241E+01   5.12400016785E+01  w1_01281998 
   5.37850532532E+01   5.19300003052E+01  w1_01291998 
