Gage   Filename  Threshold(cfs)  Start          End   Over/Under   Num_Days  AveFlow(cfs)
    17  ALP.gg18   0.25  02-Oct-1991     01-Oct-2015   O      8766        69.76
     1  BL.gg16   0.25  02-Oct-1991     10-Nov-2002   O      4058         2.25
     1  BL.gg16   0.25  11-Nov-2002     13-Nov-2002   U         3         0.13
     1  BL.gg16   0.25  14-Nov-2002     22-Oct-2004   O       709         1.99
     1  BL.gg16   0.25  23-Oct-2004     25-Oct-2004   U         3         0.15
     1  BL.gg16   0.25  26-Oct-2004     16-Oct-2009   O      1817         2.11
     1  BL.gg16   0.25  17-Oct-2009     20-Oct-2009   U         4         0.10
     1  BL.gg16   0.25  21-Oct-2009     03-Feb-2014   O      1567         1.68
     1  BL.gg16   0.25  05-Feb-2014     06-Nov-2014   O       275         2.27
     1  BL.gg16   0.25  07-Nov-2014     12-Nov-2014   U         6         0.09
     1  BL.gg16   0.25  13-Nov-2014     01-Oct-2015   O       323         1.30
    16  CA.gg15   0.25  02-Oct-1991     01-Jul-2013   O      7944         6.10
    16  CA.gg15   0.25  02-Jul-2013     06-Jul-2013   U         5         0.22
    16  CA.gg15   0.25  07-Jul-2013     28-Jul-2014   O       387         2.33
    16  CA.gg15   0.25  29-Jul-2014     05-Aug-2014   U         8         0.21
    16  CA.gg15   0.25  06-Aug-2014     02-Jul-2015   O       331         4.25
    16  CA.gg15   0.25  04-Jul-2015     01-Oct-2015   O        90         0.40
    14  CL.gg13   0.25  02-Oct-1991     31-Jul-2014   O      8339        13.26
    14  CL.gg13   0.25  01-Aug-2014     06-Aug-2014   U         6         0.25
    14  CL.gg13   0.25  07-Aug-2014     08-Aug-2014   O         2         0.25
    14  CL.gg13   0.25  09-Aug-2014     13-Aug-2014   U         5         0.25
    14  CL.gg13   0.25  14-Aug-2014     15-Aug-2014   O         2         0.25
    14  CL.gg13   0.25  16-Aug-2014     25-Sep-2014   U        41         0.24
    14  CL.gg13   0.25  26-Sep-2014     09-Sep-2015   O       349         5.14
    14  CL.gg13   0.25  10-Sep-2015     17-Sep-2015   U         8         0.25
    14  CL.gg13   0.25  18-Sep-2015     20-Sep-2015   O         3         0.25
    14  CL.gg13   0.25  21-Sep-2015     01-Oct-2015   U        11         0.24
    56  CR_blw_PI.gg62   0.25  02-Oct-1991     01-Oct-2015   O      8766        89.07
    62  Carmel_blw_Cachagua.gg20   0.25  02-Oct-1991     01-Oct-2015   O      8766        79.28
     9  DJ.gg8   0.25  02-Oct-1991     11-Jul-2013   O      7954       148.71
     9  DJ.gg8   0.25  12-Jul-2013     28-Sep-2013   U        79         0.03
     9  DJ.gg8   0.25  29-Sep-2013     20-Jul-2014   O       295        24.15
     9  DJ.gg8   0.25  21-Jul-2014     27-Sep-2014   U        69         0.07
     9  DJ.gg8   0.25  28-Sep-2014     01-Oct-2015   O       369        77.63
     8  GA.gg7   0.25  02-Oct-1991     12-Jul-1992   O       285        10.82
     8  GA.gg7   0.25  13-Jul-1992     26-Jul-1992   U        14         0.24
