IRCH,JRCH,ISEG,OUTSEG,DELTA
7,30,1,4,0
8,22,2,12,0
8,27,3,4,0
10,27,4,26,0
10,41,5,20,0
10,75,6,17,0
10,82,7,17,0
11,20,8,12,0
11,35,9,36,0
11,57,10,21,0
12,30,11,26,0
13,21,12,33,0
13,45,13,20,0
13,63,14,21,0
14,66,15,28,0
15,78,16,22,0
14,80,17,22,0
14,92,18,32,0
14,105,19,38,0
15,40,20,30,0
15,64,21,28,0
15,80,22,50,0
15,89,23,32,0
15,97,24,35,0
16,14,25,59,0
16,26,26,33,0
16,55,27,64,0
16,64,28,54,0
16,94,29,35,0
17,40,30,97,0
17,45,31,30,0
17,90,32,44,0
18,26,33,36,0
18,71,34,126,0
18,94,35,37,0
19,26,36,157,0
20,92,37,44,0
21,96,38,37,0
20,144,39,46,0
21,18,40,59,0
22,88,41,50,0
21,148,42,46,0
22,54,43,67,0
22,89,44,41,0
23,107,45,38,0
22,142,46,62,0
23,40,47,110,0
23,67,48,54,0
23,78,49,55,0
23,82,50,55,0
25,88,51,41,0
24,28,52,97,0
24,133,53,62,0
25,60,54,67,0
25,80,55,77,0
25,123,56,83,0
26,93,57,86,0
26,114,58,83,0
27,14,59,76,0
27,49,60,64,0
27,127,61,100,0
27,133,62,74,0
28,20,63,76,0
28,45,64,119,0
28,150,65,88,0
28,155,66,75,0
29,59,67,111,0
29,102,68,86,0
29,135,69,74,0
29,143,70,238,0
30,158,71,75,0
30,53,72,122,0
30,110,73,165,0
30,132,74,95,0
30,153,75,88,0
31,14,76,102,0
31,78,77,152,0
32,81,78,77,0
31,103,79,105,0
31,116,80,94,0
32,46,81,120,0
32,95,82,92,0
32,119,83,94,0
33,64,84,111,0
33,87,85,152,0
33,98,86,92,0
33,129,87,95,0
33,147,88,139,0
33,156,89,115,0
34,37,90,110,0
34,61,91,111,0
34,98,92,105,0
34,104,93,137,0
34,118,94,113,0
34,127,95,100,0
35,7,96,128,0
35,27,97,146,0
35,41,98,119,0
35,116,99,113,0
35,126,100,114,0
35,144,101,139,0
36,13,102,116,3.048
41,20,103,102,3.048
36,93,104,105,0
36,99,105,137,0
38,130,106,114,0
36,159,107,115,0
37,7,108,128,0
38,15,109,102,0
37,34,110,149,0
37,59,111,125,0
37,67,112,126,0
37,118,113,166,0
37,125,114,185,0
37,149,115,140,0
38,10,116,129,3.048
41,14,117,116,0
38,29,118,147,0
38,39,119,131,3.048
38,46,120,119,3.048
38,48,121,120,3.048
38,49,122,121,3.048
38,52,123,122,3.048
38,54,124,123,3.048
38,58,125,124,0
39,61,126,125,0
38,71,127,144,0
39,8,128,141,0
39,9,129,141,3.048
48,14,130,129,0
39,36,131,149,3.048
45,39,132,131,0
42,49,133,121,0
45,50,134,122,0
41,54,135,123,0
40,57,136,124,3.048
39,101,137,154,0
39,103,138,154,0
39,141,139,161,0
