ISEG IRCH JRCH OUTSEG
1 7 30 4
2 8 22 12
3 8 27 4
4 10 27 26
5 10 41 20
6 10 75 17
7 10 82 17
8 11 20 12
9 11 35 36
10 11 57 21
11 12 30 26
12 13 21 33
13 13 45 20
14 13 63 21
15 14 66 28
16 15 78 22
17 14 80 22
18 14 92 32
19 14 105 38
20 15 40 30
21 15 64 28
22 15 80 50
23 15 89 32
24 15 97 35
25 16 14 59
26 16 26 33
27 16 55 64
28 16 64 54
29 16 94 35
30 17 40 97
31 17 45 30
32 17 90 44
33 18 26 36
34 18 71 126
35 18 94 37
36 19 26 157
37 20 92 44
38 21 96 37
39 20 144 46
40 21 18 59
41 22 88 50
42 21 148 46
43 22 54 67
44 22 89 41
45 23 107 38
46 22 142 62
47 23 40 110
48 23 67 54
49 23 78 55
50 23 82 55
51 25 88 41
52 24 28 97
53 24 133 62
54 25 60 67
55 25 80 77
56 25 123 83
57 26 93 86
58 26 114 83
59 27 14 76
60 27 49 64
61 27 127 100
62 27 133 74
63 28 20 76
64 28 45 119
65 28 150 88
66 28 155 75
67 29 59 111
68 29 102 86
69 29 135 74
70 29 143 238
71 30 158 75
72 30 53 122
73 30 110 165
74 30 132 95
75 30 153 88
76 31 14 102
77 31 78 152
78 32 81 77
79 31 103 105
80 31 116 94
81 32 46 120
82 32 95 92
83 32 119 94
84 33 64 111
85 33 87 152
86 33 98 92
87 33 129 95
88 33 147 139
89 33 156 115
90 34 37 110
91 34 61 111
92 34 98 105
93 34 104 137
94 34 118 113
95 34 127 100
96 35 7 128
97 35 27 146
98 35 41 119
99 35 116 113
100 35 126 114
101 35 144 139
102 36 13 116
103 41 20 102
104 36 93 105
105 36 99 137
106 38 130 114
107 36 159 115
108 37 7 128
109 38 15 102
110 37 34 149
111 37 59 125
112 37 67 126
113 37 118 166
114 37 125 185
115 37 149 140
116 38 10 129
117 41 14 116
118 38 29 147
119 38 39 131
120 38 46 119
121 38 48 120
122 38 49 121
123 38 52 122
124 38 54 123
125 38 58 124
126 39 61 125
127 38 71 144
128 39 8 141
129 39 9 141
130 48 14 129
131 39 36 149
132 45 39 131
133 42 49 121
134 45 50 122
135 41 54 123
136 40 57 124
137 39 101 154
138 39 103 154
139 39 141 161
140 39 147 161
141 40 8 0
142 40 21 103
143 40 59 136
144 43 66 143
145 41 151 140
146 41 26 158
147 41 28 146
148 41 30 147
149 41 33 148
150 45 58 136
151 42 59 143
152 41 75 194
153 41 88 195
154 41 102 165
155 41 112 218
156 42 22 103
157 42 23 156
158 42 24 157
159 47 31 148
160 42 119 166
161 42 141 167
162 52 19 156
163 46 27 158
164 43 98 184
165 43 102 222
166 43 116 218
167 43 140 189
168 45 146 167
169 47 65 144
170 45 68 144
171 44 95 184
172 44 123 185
173 44 161 201
174 45 70 170
175 45 90 196
176 45 92 200
177 45 137 189
178 47 45 134
179 49 48 134
180 54 52 134
181 50 56 150
182 54 61 150
183 47 68 170
184 46 95 217
185 46 120 251
186 46 155 225
187 47 105 223
188 47 107 223
189 47 136 246
190 47 149 270
191 47 161 201
192 47 296 234
193 50 67 183
194 49 70 183
195 48 87 220
196 48 88 195
197 48 96 217
198 49 75 204
199 53 87 220
200 49 89 196
201 49 159 225
202 51 69 194
203 50 72 194
204 50 73 203
205 50 74 204
206 50 76 205
207 50 79 206
208 50 90 200
209 50 92 208
210 54 72 203
211 58 73 204
212 56 74 205
213 51 78 206
214 52 81 213
215 55 89 208
216 53 92 208
217 51 96 221
218 51 111 229
219 56 79 213
220 52 82 214
221 52 97 233
222 52 102 221
223 52 103 222
224 52 148 295
225 52 157 267
226 52 167 267
227 52 305 241
228 55 82 214
229 55 105 222
230 53 123 238
231 53 308 241
232 59 91 216
233 54 95 216
234 54 292 297
235 58 58 182
236 56 62 182
237 59 95 233
238 55 121 243
239 55 152 296
240 55 295 234
241 55 307 261
242 57 106 229
243 56 116 252
244 59 120 243
245 63 122 238
246 57 123 238
247 56 169 286
248 61 57 249
249 57 62 236
250 58 65 236
251 57 113 258
252 57 115 251
253 57 301 261
254 57 312 269
255 61 63 249
256 59 105 242
257 59 109 242
258 58 112 257
259 64 120 252
260 61 128 246
261 58 307 269
262 61 114 258
263 61 93 237
264 66 97 237
265 67 110 257
266 60 136 279
267 60 155 310
268 60 168 286
269 60 307 288
270 61 130 260
271 61 161 323
272 61 297 327
273 61 304 288
274 64 60 255
275 64 65 255
276 62 85 306
277 67 127 260
278 62 133 270
279 62 134 278
280 62 138 285
281 62 172 311
282 62 312 339
283 63 67 275
284 73 132 278
285 63 137 279
286 63 164 311
287 63 276 326
288 63 305 327
289 63 317 339
290 64 81 317
291 65 141 285
292 66 67 275
293 68 120 259
294 67 123 259
295 65 142 291
296 65 143 295
297 65 284 326
298 65 287 297
299 67 141 291
300 67 142 295
301 67 145 296
302 66 272 341
303 69 65 292
304 67 68 292
305 67 74 304
306 67 84 317
307 68 90 306
308 69 104 265
309 69 138 299
310 69 150 301
311 67 162 323
312 67 176 393
313 67 295 359
314 67 323 425
315 68 58 328
316 71 71 304
317 68 83 369
318 72 93 307
319 72 112 265
320 70 138 299
321 73 142 301
322 80 140 301
323 68 157 331
324 68 186 393
325 68 268 351
326 68 275 337
327 68 302 343
328 69 60 303
329 70 90 307
330 71 101 308
331 71 153 310
332 69 169 384
333 73 57 328
334 71 64 303
335 77 103 308
336 72 150 310
337 70 274 341
338 70 276 337
339 70 306 343
340 74 75 316
